ID,TAIR_ID,Element
MYB52,At1g17950,MYB52
MYB52,At1g17950,MYB52_2
MYB59,At5g59780,MYB59
MYB46,At5g12870,MYB46
MYB46,At5g12870,MYB46_2
MYB111,At5g49330,MYB111
MYB111,At5g49330,MYB111_2
MYB55,At4g01680,MYB55
MYB55,At4g01680,MYB55_2
CCA1,At2g46830,CCA1
CCA1,At2g46830,CCA1_2
RVE1,At5g17300,RVE1
RVE1,At5g17300,RVE1_2
ARR11,At1g67710,ARR11
ARR11,At1g67710,ARR11_2
ARR11,At1g67710,ARR11_3
ARR14,At2g01760,ARR14
ARR14,At2g01760,ARR14_2
ARR14,At2g01760,ARR14_3
GLK1,At2g20570,GLK1
GLK1,At2g20570,GLK1_2
KAN4,At5g42630,KAN4
KAN4,At5g42630,KAN4_2
KAN1,At5g16560,KAN1
At5g28300,At5g28300,At5g28300
At5g28300,At5g28300,At5g28300_2
RRTF1,At4g34410,RRTF1
RRTF1,At4g34410,RRTF1_2
RRTF1,At4g34410,RRTF1_3
RAP2.3,At3g16770,RAP2.3
RAP2.3,At3g16770,RAP2.3_2
RAP2.3,At3g16770,RAP2.3_3
RAP2.6,At1g43160,RAP2.6
RAP2.6,At1g43160,RAP2.6_2
RAP2.6,At1g43160,RAP2.6_3
RAP2.6,At1g43160,RAP2.6_4
RAP2.6,At1g43160,RAP2.6_5
ATERF1,At4g17500,ATERF1
ATERF1,At4g17500,ATERF1_2
ERF1,At3g23240,ERF1
DDF1,At1g12610,DDF1
DREB2C,At2g40340,DREB2C
DREB2C,At2g40340,DREB2C_2
DREB2C,At2g40340,DREB2C_3
At1g77200,At1g77200,At1g77200
ORA47,At1g74930,ORA47
ORA47,At1g74930,ORA47_2
DEAR3,At2g23340,DEAR3
DEAR3,At2g23340,DEAR3_2
DEAR4,At4g36900,DEAR4
DEAR4,At4g36900,DEAR4_2
TOE1,At2g28550,TOE1
TOE1,At2g28550,TOE1_2
TOE1,At2g28550,TOE1_3
TOE2,At5g60120,TOE2
TOE2,At5g60120,TOE2_2
TOE2,At5g60120,TOE2_3
WOX13,At4g35550,WOX13
WOX13,At4g35550,WOX13_2
ICU4,At1g52150,ICU4
ATHB12,At3g61890,ATHB12
ATHB51,At5g03790,ATHB51
WRKY18,At4g31800,WRKY18
WRKY12,At2g44745,WRKY12
WRKY45,At3g01970,WRKY45
WRKY38,At5g22570,WRKY38
SPL1,At2g47070,SPL1
SPL7,At5g18830,SPL7
ZAT2,At2g17180,ZAT2
At4g35610,At4g35610,At4g35610
ZAT6,At5g04340,ZAT6
ZAT14,At5g03510,ZAT14
ZAT14,At5g03510,ZAT14_2
ZAT18,At3g53600,ZAT18
ZAT18,At3g53600,ZAT18_2
GATA12,At5g25830,GATA12
DAG2,At5g65590,DAG2
Dof5.7,At5g65590,Dof5.7
Dof5.7,At5g65590,Dof5.7_2
YAB1,At2g45190,YAB1
YAB5,At2g26580,YAB5
TCP15,At1g69690,TCP15
TCP23,At1g35560,TCP23
TCP16,At1g69690,TCP16
HSFB2A,At5g62020,HSFB2A
HSFB2A,At5g62020,HSFB2A_2
HSFBC1,At3g24520,HSFBC1
HSFBC1,At3g24520,HSFBC1_2
TGA2,At5g06950,TGA2
TGA2,At5g06950,TGA2_2
bZIP60,At1g42990,bZIP60
bZIP60,At1g42990,bZIP60_2
ETTIN,At2g33860,ETT
ETTIN,At2g33860,ETT_2
REM1,At4g31610,REM1
REM1,At4g31610,REM1_2
ANAC55,At3g15500,ANAC55
ANAC55,At3g15500,ANAC55_2
ANAC46,At3g04060,ANAC46
ANAC58,At3g18400,ANAC58
AHL20,At4g14465,AHL20
AHL20,At4g14465,AHL20_2
AHL20,At4g14465,AHL20_3
AHL12,At1g63480,AHL12
AHL12,At1g63480,AHL12_2
AHL12,At1g63480,AHL12_3
AHL25,At4g35390,AHL25
LBD16,At2g42430,LBD16
PIF3,At1g09530,PIF3
STY1,At3g51060,STY1
MYC2,At1g32640,MYC2
MYC2,At1g32640,MYC2_2
MYC2,At1g32640,MYC2_3
MYC2,At1g32640,MYC2_4
MYC2,At1g32640,MYC2_5
MYC3,At5g46760,MYC3
MYC3,At5g46760,MYC3_2
MYC3,At5g46760,MYC3_3
MYC3,At5g46760,MYC3_4
MYC3,At5g46760,MYC3_5
MYC4,At4g17880,MYC4
MYC4,At4g17880,MYC4_2
MYC4,At4g17880,MYC4_3
PIF4,At2g43010,PIF4
PIF4,At2g43010,PIF4_2
PIF5,At3g59060,PIF5
